site_name;site_url;fit_score;core__functional_de_para_fit;aux__patient_caregiver_education;aux__patient_caregiver_education__flag;aux__healthcare_professional_education;aux__healthcare_professional_education__flag;aux__clinical_history_record;aux__clinical_history_record__flag;aux__care_coordination_navigation;aux__care_coordination_navigation__flag;aux__daily_self_management;aux__daily_self_management__flag;aux__monitoring_follow_up;aux__monitoring_follow_up__flag;aux__prescription_care_plan_management;aux__prescription_care_plan_management__flag;aux__emergency_transition_support;aux__emergency_transition_support__flag;aux__operational_solution_evidence;aux__operational_solution_evidence__flag;aux__direct_gsd_relevance;aux__direct_gsd_relevance__flag;aux__adjacent_rare_metabolic_context;aux__adjacent_rare_metabolic_context__flag;aux__explicit_cross_condition_configurability;aux__explicit_cross_condition_configurability__flag;main_strength;main_gap
citizen;https://www.citizen.health;91.2;91.2;94.0;TRUE;17.1;FALSE;95.0;TRUE;95.0;TRUE;94.0;TRUE;92.0;TRUE;74.55;TRUE;88.6;TRUE;82.2;TRUE;33.25;FALSE;97.0;TRUE;74.45;TRUE;functional_de_para_fit;functional_de_para_fit
patientsknowbest;https://patientsknowbest.com;88.0;88.0;94.85;TRUE;93.8;TRUE;95.0;TRUE;90.45;TRUE;92.85;TRUE;94.0;TRUE;94.8;TRUE;89.85;TRUE;86.85;TRUE;3.6;FALSE;95.5;TRUE;88.1;TRUE;functional_de_para_fit;functional_de_para_fit
metriport;https://www.metriport.com;87.6;87.6;30.1;FALSE;37.65;FALSE;96.0;TRUE;90.6;TRUE;57.0;FALSE;84.9;TRUE;58.6;FALSE;90.6;TRUE;85.45;TRUE;13.2;FALSE;44.7;FALSE;74.4;TRUE;functional_de_para_fit;functional_de_para_fit
picnichealth;https://picnichealth.com;87.6;87.6;86.45;TRUE;30.9;FALSE;96.6;TRUE;81.55;TRUE;85.8;TRUE;92.05;TRUE;85.85;TRUE;91.8;TRUE;80.2;TRUE;34.0;FALSE;96.6;TRUE;60.0;FALSE;functional_de_para_fit;functional_de_para_fit
novellia;https://novellia.com;87.0;87.0;13.85;FALSE;7.9;FALSE;93.85;TRUE;30.45;FALSE;85.95;TRUE;82.4;TRUE;32.0;FALSE;64.4;FALSE;59.45;FALSE;8.65;FALSE;6.85;FALSE;25.35;FALSE;functional_de_para_fit;functional_de_para_fit
driefcase;https://www.driefcase.com;84.85;84.85;76.2;TRUE;31.0;FALSE;93.85;TRUE;64.2;FALSE;86.2;TRUE;44.2;FALSE;61.2;FALSE;89.65;TRUE;74.45;TRUE;3.85;FALSE;8.8;FALSE;23.9;FALSE;functional_de_para_fit;functional_de_para_fit
engagedmd;https://www.engagedmd.com/navigate;84.85;84.85;96.6;TRUE;90.9;TRUE;44.3;FALSE;93.4;TRUE;72.7;TRUE;80.5;TRUE;75.45;TRUE;55.6;FALSE;81.8;TRUE;3.6;FALSE;19.95;FALSE;81.5;TRUE;functional_de_para_fit;functional_de_para_fit
everydose;https://www.everydose.ai;84.6;84.6;93.2;TRUE;57.8;FALSE;76.2;TRUE;81.95;TRUE;91.7;TRUE;91.0;TRUE;92.0;TRUE;82.6;TRUE;76.85;TRUE;3.0;FALSE;9.9;FALSE;66.65;FALSE;functional_de_para_fit;functional_de_para_fit
predoc;https://www.predoc.ai;84.15;84.15;8.3;FALSE;8.65;FALSE;94.6;TRUE;69.0;FALSE;23.0;FALSE;49.45;FALSE;15.45;FALSE;72.75;TRUE;81.95;TRUE;3.0;FALSE;27.05;FALSE;58.3;FALSE;functional_de_para_fit;functional_de_para_fit
alto;https://www.alto.com;83.45;83.45;89.85;TRUE;63.25;FALSE;56.95;FALSE;81.9;TRUE;87.05;TRUE;85.15;TRUE;92.45;TRUE;73.8;TRUE;76.3;TRUE;3.6;FALSE;64.0;FALSE;66.35;FALSE;functional_de_para_fit;functional_de_para_fit
everlab;https://www.everlab.com.au;83.3;83.3;85.3;TRUE;47.15;FALSE;94.05;TRUE;89.05;TRUE;76.4;TRUE;89.2;TRUE;89.6;TRUE;42.3;FALSE;83.2;TRUE;3.6;FALSE;56.15;FALSE;50.9;FALSE;functional_de_para_fit;functional_de_para_fit
seqster;https://seqster.com;82.7;82.7;47.65;FALSE;14.7;FALSE;94.0;TRUE;57.4;FALSE;76.6;TRUE;91.05;TRUE;41.65;FALSE;69.35;FALSE;75.25;TRUE;3.0;FALSE;81.05;TRUE;57.75;FALSE;functional_de_para_fit;functional_de_para_fit
chartspan;https://www.chartspan.com;82.6;82.6;91.7;TRUE;78.15;TRUE;83.0;TRUE;90.0;TRUE;80.4;TRUE;92.0;TRUE;91.45;TRUE;78.45;TRUE;75.25;TRUE;3.0;FALSE;8.25;FALSE;71.55;TRUE;functional_de_para_fit;functional_de_para_fit
askclara;https://askclara.com;82.3;82.3;75.05;TRUE;14.45;FALSE;94.85;TRUE;88.05;TRUE;81.6;TRUE;93.0;TRUE;95.0;TRUE;68.0;FALSE;74.6;TRUE;3.0;FALSE;7.4;FALSE;59.6;FALSE;functional_de_para_fit;functional_de_para_fit
lumahealth;https://www.lumahealth.io;82.0;82.0;88.9;TRUE;21.6;FALSE;44.05;FALSE;94.6;TRUE;64.1;FALSE;85.6;TRUE;46.35;FALSE;77.0;TRUE;81.9;TRUE;3.0;FALSE;29.35;FALSE;79.25;TRUE;functional_de_para_fit;functional_de_para_fit
voithos360;https://www.voithos360.com;82.0;82.0;74.0;TRUE;5.0;FALSE;49.0;FALSE;93.0;TRUE;79.0;TRUE;43.0;FALSE;54.0;FALSE;63.0;FALSE;15.0;FALSE;3.0;FALSE;4.0;FALSE;12.0;FALSE;functional_de_para_fit;functional_de_para_fit
info;https://info.h2hdigitalrx.com;81.85;81.85;18.3;FALSE;15.9;FALSE;84.2;TRUE;64.25;FALSE;62.8;FALSE;59.35;FALSE;94.6;TRUE;48.0;FALSE;72.05;TRUE;3.0;FALSE;4.0;FALSE;42.7;FALSE;functional_de_para_fit;functional_de_para_fit
assorthealth;https://www.assorthealth.com;81.45;81.45;37.05;FALSE;15.2;FALSE;83.15;TRUE;94.0;TRUE;64.4;FALSE;86.35;TRUE;68.9;FALSE;65.25;FALSE;83.6;TRUE;3.0;FALSE;6.6;FALSE;84.8;TRUE;functional_de_para_fit;functional_de_para_fit
doctronic;https://www.doctronic.ai;80.9;80.9;90.85;TRUE;55.65;FALSE;93.05;TRUE;86.65;TRUE;81.0;TRUE;79.3;TRUE;89.45;TRUE;76.3;TRUE;72.3;TRUE;3.6;FALSE;59.25;FALSE;71.1;TRUE;functional_de_para_fit;functional_de_para_fit
patientiq;https://www.patientiq.io/platform;80.6;80.6;93.2;TRUE;46.6;FALSE;67.75;FALSE;76.05;TRUE;72.85;TRUE;94.6;TRUE;72.0;TRUE;63.55;FALSE;76.2;TRUE;3.0;FALSE;7.6;FALSE;89.3;TRUE;functional_de_para_fit;functional_de_para_fit
site;https://site.chadis.com;80.6;80.6;91.6;TRUE;90.45;TRUE;83.5;TRUE;93.45;TRUE;74.45;TRUE;92.45;TRUE;91.45;TRUE;62.45;FALSE;71.8;TRUE;3.6;FALSE;14.45;FALSE;84.05;TRUE;functional_de_para_fit;functional_de_para_fit
eka;https://www.eka.care;80.5;80.5;26.6;FALSE;32.05;FALSE;88.35;TRUE;64.7;FALSE;60.35;FALSE;59.05;FALSE;63.5;FALSE;64.05;FALSE;69.4;FALSE;3.0;FALSE;9.3;FALSE;22.9;FALSE;functional_de_para_fit;functional_de_para_fit
resilience;https://www.resilience.care/us;79.3;79.3;91.6;TRUE;76.85;TRUE;79.6;TRUE;89.4;TRUE;86.6;TRUE;95.85;TRUE;75.05;TRUE;61.25;FALSE;83.8;TRUE;3.0;FALSE;7.85;FALSE;87.15;TRUE;functional_de_para_fit;functional_de_para_fit
vyanatech;https://www.vyanatech.com;78.8;78.8;46.0;FALSE;13.4;FALSE;83.15;TRUE;32.4;FALSE;72.05;TRUE;63.15;FALSE;61.7;FALSE;44.5;FALSE;52.6;FALSE;3.0;FALSE;3.85;FALSE;16.0;FALSE;functional_de_para_fit;functional_de_para_fit
foundationhealth;https://www.foundationhealth.com;78.7;78.7;22.45;FALSE;7.45;FALSE;20.3;FALSE;88.55;TRUE;57.75;FALSE;75.7;TRUE;90.95;TRUE;35.3;FALSE;60.45;FALSE;3.0;FALSE;5.2;FALSE;51.25;FALSE;functional_de_para_fit;functional_de_para_fit
aledade;https://aledade.com;78.6;78.6;76.05;TRUE;88.85;TRUE;84.65;TRUE;87.3;TRUE;61.05;FALSE;87.8;TRUE;66.15;FALSE;76.3;TRUE;78.5;TRUE;3.0;FALSE;10.45;FALSE;51.15;FALSE;functional_de_para_fit;functional_de_para_fit
care;https://care-harmony.com;78.45;78.45;90.2;TRUE;50.85;FALSE;54.5;FALSE;90.45;TRUE;78.25;TRUE;87.5;TRUE;87.85;TRUE;61.5;FALSE;65.65;FALSE;3.6;FALSE;16.2;FALSE;65.7;FALSE;functional_de_para_fit;functional_de_para_fit
kangaroohealth;https://www.kangaroohealth.com;78.1;78.1;82.95;TRUE;41.6;FALSE;50.05;FALSE;80.75;TRUE;83.8;TRUE;92.45;TRUE;86.1;TRUE;48.5;FALSE;60.6;FALSE;2.85;FALSE;4.85;FALSE;90.6;TRUE;functional_de_para_fit;functional_de_para_fit
