site_name,site_url,digital_twin_adherence_score,specific_counterpart,individualized_data_link,repeated_synchronization,simulation_prediction,self_claim_score,self_claim,enabling_technology_score,evidence_is_partial,evidence_chunks_available,evidence_chunks_sent,main_strength,main_gap
askclara,https://askclara.com,63.81,60.6,55.9,84.65,79.45,2.0,False,88.0,False,39,39,repeated_synchronization,individualized_data_link
patientsknowbest,https://patientsknowbest.com,57.09,65.65,47.55,82.1,63.25,3.0,False,90.6,True,136,136,repeated_synchronization,individualized_data_link
everlab,https://www.everlab.com.au,52.76,57.45,43.55,79.55,60.45,2.0,False,80.45,False,208,208,repeated_synchronization,individualized_data_link
amboss,https://www.amboss.com/int,52.41,45.7,57.65,59.1,67.25,2.0,False,69.1,True,143,143,simulation_prediction,specific_counterpart
careyaya,https://www.careyaya.org,50.51,57.15,57.4,64.5,43.6,3.0,False,78.0,True,322,322,repeated_synchronization,simulation_prediction
lecturio,https://www.lecturio.com/v1/,46.84,55.8,36.55,46.05,88.55,2.6,False,88.85,True,366,366,simulation_prediction,individualized_data_link
metriport,https://www.metriport.com,43.59,51.2,53.45,85.05,31.15,2.0,False,94.6,False,56,56,repeated_synchronization,simulation_prediction
oxfordmedicalsimulation,https://oxfordmedicalsimulation.com,43.27,66.35,44.5,29.5,86.85,3.85,False,94.0,True,126,126,simulation_prediction,repeated_synchronization
murphi,https://murphi.ai,42.92,23.7,61.15,76.9,86.6,19.8,False,90.65,False,329,329,simulation_prediction,specific_counterpart
conexasaude,https://www.conexasaude.com.br,42.56,44.3,38.15,42.9,59.1,2.85,False,76.85,True,231,231,simulation_prediction,individualized_data_link
seqster,https://seqster.com,42.13,46.9,34.2,80.25,39.25,3.0,False,92.6,False,41,41,repeated_synchronization,individualized_data_link
citizen,https://www.citizen.health,41.72,39.85,34.4,73.4,46.85,2.0,False,87.45,False,245,245,repeated_synchronization,individualized_data_link
resilience,https://www.resilience.care/us,40.95,41.65,32.85,74.6,45.2,2.0,False,88.7,False,297,297,repeated_synchronization,individualized_data_link
neuralconsult,https://www.neuralconsult.com,40.75,26.05,48.35,58.6,88.45,2.0,False,89.85,True,212,132,simulation_prediction,specific_counterpart
benchsci,https://www.benchsci.com,40.06,55.1,22.45,75.05,77.6,2.6,False,90.2,False,34,34,simulation_prediction,individualized_data_link
everydose,https://www.everydose.ai,39.65,39.9,29.3,79.4,50.55,2.85,False,85.85,False,80,80,repeated_synchronization,individualized_data_link
assorthealth,https://www.assorthealth.com,39.42,23.8,47.1,81.1,67.8,2.6,False,82.9,False,134,134,repeated_synchronization,specific_counterpart
patientiq,https://www.patientiq.io/platform,38.57,44.35,34.6,47.35,39.75,2.0,False,86.2,True,141,141,repeated_synchronization,individualized_data_link
alto,https://www.alto.com,38.37,32.85,37.4,67.45,37.75,2.0,False,63.15,True,233,233,repeated_synchronization,specific_counterpart
doctronic,https://www.doctronic.ai,36.66,26.2,33.65,65.85,62.45,2.0,False,74.55,True,381,381,repeated_synchronization,specific_counterpart
callyope,https://www.callyope.com,36.19,29.5,31.85,59.45,48.9,2.85,False,84.2,False,20,20,repeated_synchronization,specific_counterpart
ephion,https://www.ephion.health,36.13,56.25,26.25,55.3,40.75,3.0,False,89.4,False,9,9,specific_counterpart,individualized_data_link
educators,https://educators.sketchy.com,35.52,30.45,25.55,48.5,83.8,2.6,False,92.85,False,75,75,simulation_prediction,individualized_data_link
site,https://site.chadis.com,35.44,29.9,43.35,53.65,33.7,2.0,False,82.35,True,94,94,repeated_synchronization,specific_counterpart
ossovr,https://www.ossovr.com,34.78,54.85,20.45,42.1,81.8,3.0,False,92.85,False,35,35,simulation_prediction,individualized_data_link
predoc,https://www.predoc.ai,34.55,53.95,31.75,83.9,22.65,2.0,False,90.8,False,28,28,repeated_synchronization,simulation_prediction
konko,https://konko.ai/home,33.85,31.1,34.65,63.45,28.55,2.0,False,72.7,False,24,24,repeated_synchronization,simulation_prediction
garnerhealth,https://garnerhealth.com,33.14,24.05,36.6,52.3,51.25,2.6,False,72.25,False,70,70,repeated_synchronization,specific_counterpart
aledade,https://aledade.com,32.87,29.6,29.4,42.15,41.8,2.0,False,82.45,True,140,140,repeated_synchronization,individualized_data_link
chartspan,https://www.chartspan.com,32.13,29.65,25.4,69.55,34.35,2.6,False,77.2,False,181,181,repeated_synchronization,individualized_data_link
preventscripts,https://www.preventscripts.com,31.77,30.6,27.3,60.25,28.95,2.0,False,78.55,False,10,10,repeated_synchronization,individualized_data_link
