site_name,site_url,profile_id,profile_version,profile_sha256,run_id,fit_score,core__specific_counterpart,core__individualized_data_link,core__repeated_synchronization,core__simulation_prediction,aux__self_claim,aux__self_claim__flag,aux__enabling_technology,evidence_is_partial,evidence_chunks_available,evidence_chunks_sent,main_strength,main_gap
novasign,https://novasign.at,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,6404354e393e47418129647ecba29910,69.69,69.5,59.35,87.75,95.0,98.6,True,93.85,True,16,16,simulation_prediction,individualized_data_link
virtonomy,https://www.virtonomy.io,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,5b9414bf4f9a47f09f487e732ada8370,69.55,72.95,63.9,64.65,95.85,98.6,True,94.0,False,30,30,simulation_prediction,individualized_data_link
mytwin,https://mytwin.care/en,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,7511d1d6a7c34f8cb8ed52252f7fbeba,67.76,61.05,58.4,88.25,95.3,98.7,True,90.85,False,24,24,simulation_prediction,individualized_data_link
coredio,https://www.coredio-ai.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,b452ac3e66e1499d8d08586ce6ea8908,65.77,77.0,65.47,76.41,60.29,98.71,True,91.82,False,2,2,specific_counterpart,simulation_prediction
NetTargets,https://www.net-targets.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,de03616d02f5441a8b574f3008067e1d,65.32,75.05,73.4,53.8,95.85,3.6,False,91.45,True,93,93,simulation_prediction,repeated_synchronization
edith,https://www.edith-csa.eu,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,890845ff5e4a491cba050174604ffe8e,65.1,52.45,72.35,81.55,94.45,96.45,True,92.85,False,55,55,simulation_prediction,specific_counterpart
insilicare,https://insilicare.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,0f62e33ee14448c582bf3fac1d90d5a4,62.49,58.0,53.0,82.0,89.0,99.0,True,78.0,False,1,1,simulation_prediction,individualized_data_link
eonflow,https://eonflow.bio/en/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,68a67cb828044d9a9cd3534f6eb7a7f7,61.05,62.35,48.15,84.85,92.4,97.85,True,90.85,False,5,5,simulation_prediction,individualized_data_link
integratome,https://integratome.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,12daaafbdca0454ab4b076cd74b6d024,60.33,65.75,54.45,57.8,82.35,97.6,True,90.3,False,3,3,simulation_prediction,individualized_data_link
osora,https://osora.de,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,67a3f62cc69b4542a44e2a11be640cb0,58.92,67.0,47.3,64.5,96.6,96.4,True,94.45,False,9,9,simulation_prediction,individualized_data_link
nuraxi,https://nuraxi.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,52f4c4c0deaf40a89e4eee846e63708b,58.1,56.0,54.15,80.6,55.65,71.55,True,87.8,True,5,5,repeated_synchronization,individualized_data_link
neuroteg,https://neuroteg.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,8d51d1449ffa4995b7a10ac61ebebfb1,56.38,49.55,44.7,83.2,92.0,94.65,True,85.45,False,8,8,simulation_prediction,individualized_data_link
vanheronlabs,https://vanheronlabs.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,16892b1fa8484118906ddd9bf5870296,54.95,66.5,53.25,44.15,95.45,98.6,True,83.65,False,4,4,simulation_prediction,repeated_synchronization
biafo,https://www.biafo.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,b35e99481276424d83e63389fe5ba88f,53.65,64.0,38.0,73.0,95.0,99.0,True,88.0,False,1,1,simulation_prediction,individualized_data_link
Bioleap,https://www.bioleap.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,f1b4c95157f44f8cb7b16e7faf192692,53.37,53.0,39.0,80.0,95.0,2.0,False,93.0,False,1,1,simulation_prediction,individualized_data_link
InSilicoMinds,https://insilicominds.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,f5bb1e9fd2a144c291d230b7451a7af3,51.92,57.45,69.35,37.4,96.6,81.0,True,94.2,False,65,65,simulation_prediction,repeated_synchronization
avatarsuisse,https://avatarsuisse.com/en/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,739ffcc5709446d5a7b7dd6fa5295117,51.01,85.45,69.5,31.8,87.85,95.65,True,90.45,False,9,9,simulation_prediction,repeated_synchronization
ebenbuild,https://ebenbuild.com/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,9cb212d661b34a5aabad5be2e577910f,50.88,72.9,60.15,34.5,96.45,99.0,True,92.6,False,5,5,simulation_prediction,repeated_synchronization
mantislabs,https://mantislabs.com/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,4fd59f1968694dbb9f8cb348eef65540,50.62,34.12,54.12,88.82,87.94,98.71,True,85.71,False,2,2,repeated_synchronization,specific_counterpart
Pumas-AI,https://pumas.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,953dcf8da09c404880d6f022bad88e3b,50.3,45.15,49.9,43.3,93.6,3.6,False,93.6,True,97,97,simulation_prediction,repeated_synchronization
Simmunome,https://www.simmunome.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,ca15f539468348b28a0b1b76a6dfda30,50.09,43.9,57.4,41.2,94.85,4.6,False,93.0,True,5,5,simulation_prediction,repeated_synchronization
virtualbraintech,https://www.virtualbraintech.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,2cd6ef2c4f574a2dbde07e8a4e20e02a,49.73,77.95,71.1,29.8,95.45,98.85,True,93.9,False,3,3,simulation_prediction,repeated_synchronization
deeplife,https://deeplife.co/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,d1289c2f9f794947b62b2f0d4539c75d,48.66,63.85,40.25,38.85,93.0,98.85,True,92.6,True,14,14,simulation_prediction,repeated_synchronization
geodaisics,https://geodaisics.com/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,11b0fc788d7845d48728db7c113f34ed,46.78,75.05,36.85,41.25,71.25,96.6,True,80.3,True,18,18,specific_counterpart,individualized_data_link
dasisim,https://dasisim.ai/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,27bc19f37b2b46ed8b8d7929eb785488,46.47,77.9,53.1,28.8,96.6,97.45,True,94.0,True,51,51,simulation_prediction,repeated_synchronization
xbxbio,https://www.xbxbio.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,e8fdfbfa2ebf41c8ba87053a6d52c745,46.38,49.65,32.3,63.35,95.2,93.15,True,88.85,True,12,12,simulation_prediction,individualized_data_link
