Company,URL
novasign,https://novasign.at
virtonomy,https://www.virtonomy.io
mytwin,https://mytwin.care/en
coredio,https://www.coredio-ai.com
edith,https://www.edith-csa.eu
insilicare,https://insilicare.com
eonflow,https://eonflow.bio/en/
integratome,https://integratome.com
osora,https://osora.de
nuraxi,https://nuraxi.ai
neuroteg,https://neuroteg.com
vanheronlabs,https://vanheronlabs.com
biafo,https://www.biafo.ai
InSilicoMinds,https://insilicominds.com
avatarsuisse,https://avatarsuisse.com/en/
ebenbuild,https://ebenbuild.com/
mantislabs,https://mantislabs.com/
deeplife,https://deeplife.co/
geodaisics,https://geodaisics.com/
xbxbio,https://www.xbxbio.com
fulcrumneuro,https://www.fulcrumneuro.com
lxr,https://l-x-r.com
mydigitaltwin,https://www.mydigitaltwin.at
cellverse,https://www.cellverse.org
brainboostxr,https://www.brainboostxr.com
