site_name,site_url,profile_id,profile_version,profile_sha256,run_id,fit_score,core__specific_counterpart,core__individualized_data_link,core__repeated_synchronization,core__simulation_prediction,core__self_claim,aux__enabling_technology,evidence_is_partial,evidence_chunks_available,evidence_chunks_sent,main_strength,main_gap
virtualbraintech,https://www.virtualbraintech.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,2fe8ab1dc0ef40209ea2c601b1d7bea3,89.83,95.8,95.0,29.2,91.8,98.0,96.0,False,3,3,self_claim,repeated_synchronization
dasisim,https://dasisim.ai/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,2ca6f35098e84c6a9080b79e8e41b039,89.14,94.8,94.6,25.4,92.0,97.0,94.8,True,51,51,self_claim,repeated_synchronization
ebenbuild,https://ebenbuild.com/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,67beab9bbb4247d0b2fd5494735063df,88.91,93.8,94.0,29.2,91.6,98.0,96.8,False,5,5,self_claim,repeated_synchronization
virtonomy,https://www.virtonomy.io,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,6fe730e04f4c495f919abdecde90f3dc,88.43,92.8,91.6,58.4,86.0,98.0,96.8,False,30,30,self_claim,repeated_synchronization
osora,https://osora.de,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,e734511d03364b19b5bcbe13836ffffb,88.33,86.8,89.4,81.4,88.4,96.8,95.0,False,9,9,self_claim,repeated_synchronization
twinsight,https://twinsight-medical.com/services-en/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,6ae6639d4be1434381af03a3ebbdfa3b,86.84,93.8,91.8,24.2,87.8,98.0,94.8,False,2,2,self_claim,repeated_synchronization
mytwin,https://mytwin.care/en,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,540bdbccae7e4d4290012d8d0e6c73d2,86.37,90.6,90.4,73.6,78.4,98.0,93.8,False,24,24,self_claim,repeated_synchronization
coredio,https://www.coredio-ai.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,c9bb351336fc4b54bad491217cdb0117,86.29,92.6,91.4,58.8,78.8,98.0,94.6,False,2,2,self_claim,repeated_synchronization
ventcreativity,https://www.ventcreativity.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,cff9d59611814ba2a666d36eceabd086,85.86,91.0,91.0,21.0,89.0,97.0,95.0,False,1,1,self_claim,repeated_synchronization
novasign,https://novasign.at,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,ff9deba4afbf4f64b890f40883dd586f,85.39,80.8,84.4,86.4,87.6,97.8,96.6,True,16,16,self_claim,specific_counterpart
edith,https://www.edith-csa.eu,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,719fdb6a18344b648dd05490d654cec7,85.33,82.0,87.0,74.6,86.8,96.8,95.0,False,55,55,self_claim,repeated_synchronization
avatarsuisse,https://avatarsuisse.com/en/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,fb3a7ccfff7f4f6fac3f94d83b9a3e38,85.24,92.8,93.8,23.8,81.8,96.0,94.0,False,9,9,self_claim,repeated_synchronization
skairos,https://skairos.io,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,bd9dadcffa7b4e29ad4ee93fd1dfac4a,84.94,92.6,91.4,23.4,87.6,79.4,93.8,False,2,2,specific_counterpart,repeated_synchronization
mantislabs,https://mantislabs.com/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,7c5cc5de9c234b6689245b189988220c,83.99,83.0,88.8,65.0,81.4,98.0,92.0,False,2,2,self_claim,repeated_synchronization
