site_name,site_url,profile_id,profile_version,profile_sha256,run_id,fit_score,core__physical_inventory_state,core__stock_movement_capture,core__low_touch_inventory_capture,core__multi_location_control,core__lot_expiry_traceability,core__replenishment_action,aux__operational_solution_evidence,aux__operational_solution_evidence__flag,aux__item_container_identity,aux__item_container_identity__flag,aux__point_of_use_stockroom_context,aux__point_of_use_stockroom_context__flag,aux__hospital_foodservice_context,aux__hospital_foodservice_context__flag,aux__institutional_foodservice_context,aux__institutional_foodservice_context__flag,aux__adjacent_transferable_inventory_context,aux__adjacent_transferable_inventory_context__flag,aux__human_scan_capture,aux__human_scan_capture__flag,aux__passive_automatic_capture,aux__passive_automatic_capture__flag,aux__cold_chain_condition_monitoring,aux__cold_chain_condition_monitoring__flag,aux__erp_procurement_integration,aux__erp_procurement_integration__flag,aux__brazil_portuguese_support,aux__brazil_portuguese_support__flag,aux__small_multi_location_deployment_evidence,aux__small_multi_location_deployment_evidence__flag,aux__managed_inventory_service_model,aux__managed_inventory_service_model__flag,evidence_is_partial,evidence_chunks_available,evidence_chunks_sent,main_strength,main_gap
Fast Technology,https://www.fastinventorysoftware.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,4882dbe6e7b8485893e63699c35f08f7,93.34,94.45,96.0,93.7,94.6,97.0,80.7,75.85,True,92.45,True,32.2,False,7.85,False,22.4,False,73.3,True,95.45,True,10.6,False,93.05,True,90.4,True,3.0,False,84.65,True,23.4,False,False,82,82,lot_expiry_traceability,replenishment_action
Odoo,https://www.odoo.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,225340eac39246c982ae978e2bd0f998,91.04,91.05,93.0,89.05,86.0,93.05,93.7,65.0,False,84.85,True,30.8,False,7.5,False,52.5,False,78.55,True,88.7,True,35.55,False,16.85,False,81.35,True,74.8,True,65.7,False,32.05,False,True,224,224,replenishment_action,multi_location_control
Cybrosys Technologies,https://www.cybrosys.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,2ea25ec1e5bc404da6bc5b7f35ae8515,90.78,92.65,93.85,89.1,88.3,90.0,90.5,65.9,False,81.45,True,28.45,False,7.8,False,44.8,False,75.85,True,91.45,True,24.3,False,37.0,False,93.15,True,11.85,False,66.75,False,24.2,False,True,276,276,stock_movement_capture,multi_location_control
NutraSoft,https://www.nutrasoft.ca/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,d86042e706c74c8fb35af601ccad60a5,90.44,91.7,94.6,90.6,86.15,96.0,78.6,72.05,True,92.45,True,41.9,False,81.7,True,85.5,True,72.2,True,89.6,True,45.2,False,92.05,True,82.8,True,59.65,False,76.7,True,33.0,False,True,253,253,lot_expiry_traceability,replenishment_action
Apicbase,https://get.apicbase.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,2ec7f191e4df47ffb563d9a0495f96a8,88.43,87.65,90.85,89.6,91.05,82.05,92.45,77.45,True,82.85,True,52.05,False,61.7,False,95.45,True,83.45,True,93.05,True,41.5,False,71.05,True,87.75,True,4.0,False,89.45,True,36.05,False,True,357,357,replenishment_action,lot_expiry_traceability
merchmix,https://merchmix.co,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,22eb4405c90c469ca98721f5774027d2,87.48,90.1,94.35,69.9,91.55,90.4,94.45,53.4,False,91.05,True,30.4,False,25.6,False,6.6,False,66.6,False,64.05,False,16.6,False,11.6,False,85.0,True,3.0,False,81.15,True,27.45,False,True,259,259,replenishment_action,low_touch_inventory_capture
SARU TECH,https://sarutech.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,0e8d81a50ea64bfeb71cba38401a4679,87.17,91.45,95.0,80.25,90.7,84.85,82.2,67.0,False,71.45,True,70.75,True,27.7,False,10.05,False,86.65,True,75.8,True,12.8,False,8.65,False,72.0,True,31.0,False,81.55,True,32.8,False,True,98,98,stock_movement_capture,low_touch_inventory_capture
Oxmaint,https://oxmaint.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,f5a7883a967b400c82a16213e35071c0,86.77,91.85,91.45,82.9,85.25,82.95,86.85,57.2,False,82.25,True,25.65,False,7.6,False,70.1,True,45.3,False,85.7,True,33.25,False,89.8,True,89.8,True,37.9,False,66.3,False,52.55,False,True,488,488,physical_inventory_state,low_touch_inventory_capture
VUEMED,https://vuemed.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,419f165b63a845d58b59aa75c5f9aad6,85.94,83.75,92.1,93.7,80.25,87.1,73.45,75.95,True,91.0,True,83.15,True,9.2,False,4.6,False,84.45,True,92.3,True,88.0,True,7.6,False,84.9,True,2.0,False,88.75,True,41.25,False,True,42,42,low_touch_inventory_capture,replenishment_action
iFactory AI,https://ifactoryapp.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,008170de2c3a4f90b2669e1c238055eb,85.85,92.45,89.8,90.8,88.3,70.3,85.05,63.15,False,87.45,True,34.7,False,6.6,False,49.8,False,81.7,True,82.75,True,90.15,True,86.8,True,88.4,True,32.55,False,74.8,True,26.35,False,True,637,637,physical_inventory_state,lot_expiry_traceability
